timeLeftInSec,down,yardsToFirstdown,yardsToEndzone,isEmpty,isI_Form,isJumbo,isPistol,isShotgun,isSingleback,isWildcat,defendersInTheBox,numberOfPassRushers,numberRB,numberTE,numberWR,defendersInTheBox,numberOfPassRushers,numberDL,numberLB,numberDB,isTraditional,isRollout,isScramble,yardsGained
2260,4,1,3,0,0,0,0,1,0,0,7,6,1,1,3,7,6,4,2,5,1,0,0,0
2212,2,7,93,1,0,0,0,0,0,0,4,4,1,1,3,4,4,4,2,5,1,0,0,0
2209,3,7,93,1,0,0,0,0,0,0,6,4,0,1,4,6,4,4,2,5,1,0,0,13
2136,2,10,80,1,0,0,0,0,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,13
2074,2,10,67,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,0
2069,3,10,67,1,0,0,0,0,0,0,4,4,0,1,4,4,4,4,2,5,1,0,0,0
2061,1,10,41,0,0,0,0,1,0,0,7,4,1,1,3,7,4,3,3,5,1,0,0,-8
2016,2,8,49,1,0,0,0,0,0,0,6,5,0,1,4,6,5,4,2,5,1,0,0,40
1965,1,9,9,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,0,0,1,0
1959,2,9,9,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,0,0,1,0
1949,3,9,9,1,0,0,0,0,0,0,5,3,0,1,4,5,3,4,2,5,0,0,1,-15
1916,1,10,75,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,0
1905,1,10,86,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,9
1899,2,1,77,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,6
1878,1,10,71,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,8
1872,2,2,63,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,0
1866,3,2,63,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,30
1856,1,10,33,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,0
1849,2,5,28,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,8
1819,2,3,3,0,0,0,0,1,0,0,7,5,1,1,3,7,5,3,3,5,1,0,0,0
1800,1,10,75,0,0,0,0,0,1,0,5,4,1,1,3,5,4,4,2,5,0,1,0,14
1717,2,20,71,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,2,5,1,0,0,0
1708,3,25,76,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,0,0,1,0
1693,1,10,77,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,30
1613,2,8,45,0,0,0,0,1,0,0,6,3,1,1,3,6,3,4,2,5,1,0,0,0
1573,3,8,45,0,0,0,0,1,0,0,6,3,1,1,3,6,3,3,3,5,1,0,0,0
1524,2,9,97,0,1,0,0,0,0,0,7,5,2,1,2,7,5,4,2,5,1,0,0,10
1443,2,7,84,0,0,0,0,1,0,0,7,5,1,1,3,7,5,4,2,5,1,0,0,13
1353,2,5,66,1,0,0,0,0,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,7
1317,1,10,50,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,30
1242,2,10,20,1,0,0,0,0,0,0,4,4,0,1,4,4,4,4,2,5,0,0,1,0
1235,3,10,20,0,0,0,0,1,0,0,7,7,1,1,3,7,7,4,2,5,1,0,0,0
1197,2,9,74,0,0,0,0,1,0,0,6,5,1,1,3,6,5,3,3,5,1,0,0,0
1192,3,9,74,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,23
1159,1,10,51,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,5
1121,2,5,46,0,0,0,0,1,0,0,6,5,1,1,3,6,5,3,3,5,1,0,0,32
1095,1,10,14,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,14
1043,2,9,78,0,0,0,0,0,1,0,7,5,1,1,3,7,5,3,3,5,1,0,0,10
935,1,10,14,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,2,5,1,0,0,10
897,1,10,75,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,18
872,1,10,57,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0
864,2,10,57,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,11
833,1,10,46,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0
830,2,10,46,0,0,0,0,1,0,0,5,5,1,1,3,5,5,3,3,5,1,0,0,0
826,3,10,46,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,3,5,1,0,0,0
821,4,10,46,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,3,5,1,0,0,11
791,1,10,35,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,-5
759,2,15,40,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,0,0,1,14
698,1,10,22,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0
637,2,9,49,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,2,5,1,0,0,7
597,3,2,42,0,0,0,0,0,1,0,7,3,1,2,2,7,3,4,2,5,1,0,0,0
588,1,10,58,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,2
560,2,8,56,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,0
556,3,8,56,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,3,5,1,0,0,7
504,1,10,47,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,0
500,2,10,47,0,0,0,0,1,0,0,5,3,1,1,3,5,3,3,3,5,1,0,0,-5
453,1,10,42,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,3,5,1,0,0,0
448,2,10,42,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,3,5,1,0,0,0
442,3,10,42,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,3,5,1,0,0,13
417,1,10,29,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,6
392,2,4,23,0,0,0,0,1,0,0,5,5,1,1,3,5,5,3,3,5,1,0,0,2
361,3,2,21,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,3,5,1,0,0,0
346,1,10,52,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,11
294,1,10,11,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,0,0,1,0
286,2,10,11,0,0,0,0,1,0,0,6,3,1,1,3,6,3,3,3,5,1,0,0,0
281,3,10,11,1,0,0,0,0,0,0,4,4,1,1,3,4,4,3,3,5,1,0,0,0
277,4,10,11,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,3,5,0,0,1,9
62,1,10,91,0,0,0,0,1,0,0,4,4,1,1,3,4,4,3,3,5,1,0,0,4
56,2,6,87,0,0,0,0,1,0,0,4,4,1,1,3,4,4,3,3,5,1,0,0,13
32,1,10,74,0,0,0,0,1,0,0,4,4,1,1,3,4,4,3,3,5,0,0,1,25
23,1,10,49,0,0,0,0,1,0,0,4,4,1,1,3,4,4,3,3,5,1,0,0,23
17,1,10,26,0,0,0,0,1,0,0,4,4,1,1,3,4,4,3,3,5,0,0,1,12
9,1,10,14,0,0,0,0,1,0,0,4,4,1,1,3,4,4,3,3,5,1,0,0,0
3594,1,10,71,0,0,0,0,1,0,0,7,4,1,1,3,7,4,2,4,5,1,0,0,0
3550,1,10,55,0,1,0,0,0,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,3
3389,2,11,46,1,0,0,0,0,0,0,5,4,1,1,3,5,4,2,4,5,1,0,0,0
3228,1,10,62,0,0,0,0,0,1,0,6,4,1,2,2,6,4,2,4,5,0,1,0,0
3063,2,16,57,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,17
3030,1,10,40,0,0,0,0,1,0,0,6,4,1,2,2,6,4,2,4,5,1,0,0,7
2993,2,3,33,0,0,0,0,1,0,0,6,4,1,2,2,6,4,2,4,5,1,0,0,7
2917,2,7,23,0,0,0,0,0,1,0,6,5,1,1,3,6,5,2,4,5,1,0,0,0
2911,3,7,23,0,0,0,0,1,0,0,5,4,1,1,3,5,4,2,3,6,1,0,0,0
2861,2,6,65,0,0,0,0,1,0,0,6,5,1,1,3,6,5,3,3,5,1,0,0,60
2724,2,7,83,0,0,0,0,1,0,0,6,4,1,2,2,6,4,2,4,5,1,0,0,0
2700,2,9,21,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,0
2696,3,9,21,0,0,0,0,1,0,0,7,5,1,0,4,7,5,2,4,5,1,0,0,0
2688,1,10,75,0,0,0,0,0,1,0,7,4,1,2,2,7,4,3,3,5,1,0,0,14
2505,1,10,24,0,1,0,0,0,0,0,7,4,1,2,2,7,4,2,4,5,0,1,0,0
2499,2,10,24,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,0
2493,3,10,24,0,0,0,0,1,0,0,5,4,1,1,3,5,4,2,3,6,0,0,1,0
2479,1,10,68,0,0,0,0,0,1,0,6,6,1,1,3,6,6,2,4,5,0,0,1,-4
2437,2,14,72,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,18
2329,2,8,52,0,0,0,0,1,0,0,6,5,1,1,3,6,5,2,4,5,0,0,1,-5
2285,3,13,57,0,0,0,0,1,0,0,6,4,2,0,3,6,4,2,4,5,1,0,0,8
2239,1,10,88,0,0,0,0,0,1,0,6,4,1,2,2,6,4,2,4,5,1,0,0,24
2201,1,10,64,0,0,0,0,0,1,0,6,4,1,2,2,6,4,2,4,5,1,0,0,22
2161,1,10,42,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,0
2113,3,7,39,0,0,0,0,1,0,0,5,4,1,1,3,5,4,2,3,6,0,0,1,30
2033,2,4,4,0,0,0,0,1,0,0,6,5,1,2,2,6,5,2,4,5,1,0,0,0
1971,3,6,68,0,0,0,0,1,0,0,6,4,1,0,4,6,4,2,4,5,1,0,0,11
1920,1,15,62,0,0,0,0,1,0,0,6,4,1,0,4,6,4,2,3,6,0,0,1,0
1911,2,15,62,0,0,0,0,1,0,0,6,4,1,0,4,6,4,2,3,6,1,0,0,0
1906,3,15,62,0,0,0,1,0,0,0,6,5,1,1,3,6,5,2,4,5,1,0,0,4
1890,1,10,85,0,0,0,0,1,0,0,5,4,1,1,3,5,4,2,3,6,1,0,0,11
1865,1,10,74,0,0,0,0,1,0,0,5,4,1,1,3,5,4,2,3,6,1,0,0,9
1860,2,1,65,0,0,0,0,1,0,0,5,4,1,1,3,5,4,2,3,6,1,0,0,-6
1842,1,7,7,1,0,0,0,0,0,0,6,5,1,1,3,6,5,2,4,5,1,0,0,0
1820,3,8,8,0,0,0,0,1,0,0,5,3,1,1,3,5,3,1,4,6,1,0,0,8
1800,1,10,75,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,14
1771,1,10,61,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,0
1765,2,10,61,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,23
1727,1,10,38,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,-10
1685,2,20,48,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,0,0,1,-3
1637,3,23,51,0,0,0,0,1,0,0,3,3,1,1,3,3,3,2,3,6,1,0,0,12
1595,4,11,39,0,0,0,0,1,0,0,5,4,1,1,3,5,4,2,3,6,1,0,0,17
1573,1,10,22,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,0
1564,2,10,22,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,12
1531,1,10,10,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,7
1485,2,3,3,0,0,0,0,1,0,0,6,5,1,1,3,6,5,2,4,5,0,1,0,3
1444,2,8,68,0,0,0,0,0,1,0,6,4,1,1,3,6,4,2,4,5,1,0,0,0
1434,1,10,53,0,1,0,0,0,0,0,7,4,2,1,2,7,4,3,4,4,1,0,0,0
1427,2,10,53,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,12
1347,2,8,39,0,0,0,0,1,0,0,6,5,1,1,3,6,5,2,4,5,1,0,0,0
1310,3,18,49,0,0,0,0,1,0,0,7,5,2,0,3,7,5,2,4,5,1,0,0,12
1255,1,10,55,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,0
1251,2,10,55,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,19
1214,1,10,36,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,0,0,1,0
1209,2,10,36,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,0
1203,3,10,36,0,0,0,0,1,0,0,5,4,1,1,3,5,4,2,3,6,1,0,0,6
1079,2,9,23,0,0,0,0,1,0,0,5,4,1,1,3,5,4,2,4,5,1,0,0,9
999,2,9,13,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,12
979,1,1,1,0,0,1,0,0,0,0,8,7,1,4,0,8,7,4,5,2,1,0,0,1
855,1,10,32,1,0,0,0,0,0,0,6,5,1,1,3,6,5,3,3,5,1,0,0,0
780,2,5,5,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,5
775,1,10,75,0,0,0,0,1,0,0,5,4,1,1,3,5,4,2,3,6,1,0,0,8
747,2,2,67,0,0,0,0,1,0,0,5,4,1,1,3,5,4,2,3,6,1,0,0,18
703,1,10,49,0,0,0,0,1,0,0,5,4,1,1,3,5,4,2,3,6,1,0,0,10
593,2,6,24,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,3,6,1,0,0,12
551,1,10,12,0,0,0,0,1,0,0,5,5,1,1,3,5,5,2,3,6,1,0,0,0
547,2,10,12,0,0,0,0,1,0,0,5,5,1,1,3,5,5,2,3,6,1,0,0,12
541,1,10,75,0,0,0,0,1,0,0,6,5,1,2,2,6,5,3,4,4,1,0,0,0
347,1,10,75,0,0,0,0,1,0,0,4,3,1,1,3,4,3,1,3,7,1,0,0,23
306,1,10,52,0,0,0,0,1,0,0,4,3,1,1,3,4,3,1,3,7,1,0,0,9
245,1,10,33,0,0,0,0,1,0,0,4,4,1,1,3,4,4,1,3,7,1,0,0,0
240,2,10,33,0,0,0,0,1,0,0,4,5,1,1,3,4,5,2,3,6,1,0,0,0
229,3,15,38,0,0,0,0,1,0,0,4,4,1,1,3,4,4,1,3,7,0,0,1,0
210,2,7,51,0,0,0,0,0,1,0,8,6,1,2,2,8,6,3,4,4,0,0,1,-4
204,3,11,55,0,0,0,0,1,0,0,6,5,1,1,3,6,5,3,3,5,1,0,0,14
64,1,10,97,0,0,0,0,1,0,0,3,3,1,1,3,3,3,1,3,7,1,0,0,0
59,2,10,97,0,0,0,0,1,0,0,4,3,1,1,3,4,3,1,3,7,1,0,0,3
33,3,7,94,0,0,0,0,1,0,0,4,3,1,1,3,4,3,1,3,7,1,0,0,12
25,1,10,82,0,0,0,0,1,0,0,4,3,1,1,3,4,3,1,3,7,1,0,0,5
19,2,5,77,0,0,0,0,1,0,0,5,3,1,1,3,5,3,1,3,7,1,0,0,54
3556,1,10,56,0,1,0,0,0,0,0,7,4,1,2,2,7,4,4,3,4,1,0,0,0
3424,2,7,42,1,0,0,0,0,0,0,5,5,1,1,3,5,5,4,3,4,1,0,0,0
3419,3,7,42,1,0,0,0,0,0,0,6,5,0,1,4,6,5,3,3,5,1,0,0,0
3358,1,10,81,0,0,0,0,1,0,0,6,5,1,1,3,6,5,2,4,5,1,0,0,9
3325,2,1,72,0,0,0,0,0,1,0,6,6,1,1,3,6,6,2,4,5,1,0,0,-4
3281,3,5,76,0,0,0,0,1,0,0,5,4,1,1,3,5,4,1,4,6,1,0,0,0
3273,1,10,33,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,3,4,1,0,0,7
3228,2,3,26,0,0,0,0,0,1,0,7,6,1,2,2,7,6,4,3,4,1,0,0,0
3225,3,3,26,0,0,0,0,1,0,0,7,4,1,1,3,7,4,3,3,5,1,0,0,0
3153,2,21,86,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,5
3112,3,16,81,0,0,0,0,1,0,0,5,4,1,1,3,5,4,1,4,6,1,0,0,21
2998,2,7,45,1,0,0,0,0,0,0,5,4,1,3,1,5,4,3,4,4,1,0,0,8
2957,1,10,37,0,0,0,0,1,0,0,6,5,1,1,3,6,5,2,4,5,1,0,0,0
2915,3,8,35,0,0,0,0,1,0,0,6,3,1,1,3,6,3,1,4,6,1,0,0,-9
2875,1,10,84,0,0,0,0,0,1,0,6,4,1,2,2,6,4,4,3,4,1,0,0,28
2752,3,5,51,1,0,0,0,0,0,0,7,4,1,0,4,7,4,3,3,5,1,0,0,0
2601,1,10,52,0,0,0,0,0,1,0,9,5,1,3,1,9,5,4,3,4,0,0,1,0
2595,2,10,52,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,3,5,1,0,0,17
2497,2,10,19,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,3,5,1,0,0,11
2460,1,8,8,1,0,0,0,0,0,0,7,3,1,4,0,7,3,4,3,4,1,0,0,4
2374,2,2,2,0,0,0,0,0,1,0,7,4,1,2,2,7,4,4,3,4,0,0,1,0
2368,1,10,97,0,1,0,0,0,0,0,8,4,1,3,1,8,4,3,4,4,1,0,0,26
2328,1,10,71,0,0,0,0,1,0,0,5,4,1,1,3,5,4,2,3,6,1,0,0,0
2297,2,20,81,1,0,0,0,0,0,0,5,4,1,2,2,5,4,2,4,5,0,0,1,0
2291,3,20,81,0,0,0,0,1,0,0,6,5,1,1,3,6,5,1,4,6,1,0,0,10
2210,2,12,60,0,0,0,0,0,1,0,7,4,1,2,2,7,4,4,3,4,1,0,0,7
2178,3,5,53,1,0,0,0,0,0,0,6,4,0,1,4,6,4,3,3,5,1,0,0,0
2075,3,13,93,0,1,0,0,0,0,0,5,4,1,3,1,5,4,1,4,6,1,0,0,7
1986,2,8,58,0,0,0,0,0,1,0,7,4,1,2,2,7,4,4,3,4,0,0,1,-4
1945,3,12,62,0,0,0,0,1,0,0,7,5,1,1,3,7,5,2,4,5,1,0,0,5
1919,1,10,78,1,0,0,0,0,0,0,5,5,1,1,3,5,5,1,4,6,1,0,0,0
1915,2,10,78,0,0,0,0,1,0,0,6,2,1,1,3,6,2,1,4,6,1,0,0,8
1868,1,10,62,0,0,0,0,1,0,0,6,4,1,1,3,6,4,1,4,6,1,0,0,19
1847,1,10,43,0,0,0,0,1,0,0,6,4,1,1,3,6,4,1,4,6,1,0,0,24
1844,1,10,19,0,0,0,0,1,0,0,6,4,1,1,3,6,4,1,4,6,1,0,0,19
1840,1,10,75,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,3,5,1,0,0,4
1833,2,6,71,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,16
1828,1,10,55,0,0,0,0,1,0,0,6,5,1,1,3,6,5,3,3,5,1,0,0,12
1821,1,10,43,0,0,0,0,1,0,0,7,5,1,1,3,7,5,3,3,5,1,0,0,13
1814,1,10,30,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,3,5,1,0,0,0
1810,2,10,30,0,0,0,0,1,0,0,5,5,1,1,3,5,5,3,3,5,1,0,0,0
1800,1,10,75,0,0,0,0,1,0,0,7,5,1,2,2,7,5,2,4,5,1,0,0,-8
1697,1,10,58,0,0,0,0,1,0,0,5,5,1,1,3,5,5,2,3,6,1,0,0,0
1620,3,9,57,0,0,0,0,1,0,0,7,4,1,1,3,7,4,1,4,6,0,0,1,0
1575,2,10,80,0,0,0,0,1,0,0,7,6,1,1,3,7,6,3,4,4,1,0,0,0
1572,3,10,80,1,0,0,0,0,0,0,6,5,1,1,3,6,5,2,4,5,1,0,0,15
1541,1,10,65,0,0,0,0,1,0,0,6,5,1,1,3,6,5,3,4,4,1,0,0,0
1536,2,10,65,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,3,4,1,0,0,7
1528,1,15,47,0,0,0,0,1,0,0,7,4,1,1,3,7,4,2,4,5,0,0,1,15
1470,2,10,32,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,0
1465,3,10,32,0,0,0,0,1,0,0,5,4,1,1,3,5,4,1,4,6,1,0,0,26
1440,1,6,6,0,0,0,0,1,0,0,6,4,1,1,3,6,4,2,4,5,1,0,0,0
1396,3,6,6,1,0,0,0,0,0,0,5,4,1,2,2,5,4,1,4,6,0,0,1,-11
1231,2,7,53,1,0,0,0,0,0,0,6,3,1,1,3,6,3,4,3,4,1,0,0,10
1206,1,10,43,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,3,4,1,0,0,5
1167,2,5,38,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,3,4,1,0,0,13
1135,1,10,25,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,3,4,1,0,0,7
1104,2,3,18,0,0,0,0,1,0,0,6,6,1,1,3,6,6,4,3,4,1,0,0,1
1033,1,10,14,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,3,4,1,0,0,5
960,3,3,7,1,0,0,0,0,0,0,5,3,1,0,4,5,3,3,3,5,1,0,0,0
953,1,10,75,0,0,0,0,0,1,0,8,5,1,3,1,8,5,3,4,4,1,0,0,-5
866,3,15,80,0,0,0,0,1,0,0,5,5,1,1,3,5,5,1,4,6,1,0,0,14
818,1,10,88,1,0,0,0,0,0,0,6,4,1,1,3,6,4,4,3,4,1,0,0,20
751,1,10,57,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,3,4,1,0,0,0
748,2,10,57,1,0,0,0,0,0,0,7,4,1,1,3,7,4,4,3,4,1,0,0,1
705,3,9,56,1,0,0,0,0,0,0,4,4,1,1,3,4,4,3,3,5,1,0,0,0
580,2,9,68,0,0,0,0,1,0,0,6,5,1,1,3,6,5,2,4,5,1,0,0,0
576,3,9,68,0,0,0,0,1,0,0,5,4,1,1,3,5,4,1,4,6,1,0,0,0
462,3,10,63,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,0
414,2,8,84,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,9
353,1,20,85,1,0,0,0,0,0,0,5,4,1,1,3,5,4,2,4,5,1,0,0,8
285,3,12,77,0,0,0,0,1,0,0,6,4,1,1,3,6,4,1,4,6,0,0,1,0
269,1,10,66,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,4,4,1,0,0,6
246,2,4,60,1,0,0,0,0,0,0,5,4,1,1,3,5,4,3,4,4,1,0,0,19
218,1,10,41,0,0,0,0,1,0,0,6,3,1,1,3,6,3,3,4,4,1,0,0,7
195,2,3,34,0,0,0,0,1,0,0,7,5,1,1,3,7,5,4,3,4,1,0,0,7
120,2,13,30,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,4,4,0,0,1,0
115,3,13,30,0,0,0,0,1,0,0,6,5,1,1,3,6,5,2,4,5,1,0,0,16
69,1,10,14,0,0,0,0,1,0,0,5,3,1,1,3,5,3,4,3,4,1,0,0,0
65,2,10,14,0,0,0,0,1,0,0,5,3,1,1,3,5,3,4,2,5,1,0,0,0
60,3,10,14,1,0,0,0,0,0,0,4,3,0,1,4,4,3,3,3,5,1,0,0,0
52,1,10,75,0,0,0,0,1,0,0,6,5,1,1,3,6,5,1,4,6,1,0,0,13
48,1,10,62,0,0,0,0,1,0,0,7,5,1,1,3,7,5,1,4,6,1,0,0,0
44,2,10,62,0,0,0,0,1,0,0,5,4,1,1,3,5,4,1,4,6,1,0,0,8
38,3,2,54,0,0,0,0,1,0,0,6,5,1,1,3,6,5,1,4,6,1,0,0,17
16,2,10,37,0,0,0,0,1,0,0,5,4,1,1,3,5,4,1,4,6,1,0,0,0
12,3,10,37,0,0,0,0,1,0,0,8,7,1,1,3,8,7,1,4,6,1,0,0,0
3593,1,10,82,0,0,0,0,1,0,0,6,4,2,1,2,6,4,4,2,5,1,0,0,7
3529,1,10,69,0,0,0,0,1,0,0,6,2,1,1,3,6,2,4,2,5,1,0,0,6
3492,2,4,63,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,4
3453,1,10,59,0,0,0,0,0,1,0,7,4,1,1,3,7,4,4,2,5,1,0,0,0
3407,3,5,54,0,0,0,0,1,0,0,5,5,1,1,3,5,5,4,2,5,1,0,0,0
3363,2,8,88,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,10
3319,1,5,73,0,0,0,0,0,1,0,7,4,1,2,2,7,4,4,3,4,0,1,0,18
3237,2,8,53,1,0,0,0,0,0,0,6,4,0,1,4,6,4,4,2,5,1,0,0,10
3168,2,5,38,1,0,0,0,0,0,0,7,6,1,1,3,7,6,4,2,5,1,0,0,25
3018,3,15,18,1,0,0,0,0,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,0
2973,2,1,72,0,0,0,0,0,1,0,7,4,1,2,2,7,4,4,3,4,0,0,1,4
2888,2,7,65,1,0,0,0,0,0,0,5,5,1,1,3,5,5,4,2,5,1,0,0,0
2884,3,7,65,0,0,0,0,1,0,0,5,5,1,1,3,5,5,4,2,5,1,0,0,0
2831,2,7,89,0,0,0,0,0,1,0,8,5,1,2,2,8,5,4,3,4,1,0,0,23
2752,2,11,67,0,0,0,0,1,0,0,6,5,1,1,3,6,5,3,3,5,1,0,0,6
2712,3,5,61,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,0
2624,3,9,55,0,0,0,0,1,0,0,7,5,1,1,3,7,5,4,2,5,1,0,0,0
2603,1,10,90,0,0,0,0,1,0,0,6,3,1,1,3,6,3,4,3,4,1,0,0,5
2582,2,5,85,0,0,0,0,0,1,0,7,5,1,1,3,7,5,4,3,4,0,0,1,0
2578,3,5,85,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,6
2512,2,1,70,0,0,0,0,1,0,0,7,4,1,2,2,7,4,4,3,4,1,0,0,6
2463,1,20,74,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,16
2418,2,4,58,0,0,0,0,0,1,0,7,5,1,1,3,7,5,4,2,5,0,1,0,13
2293,3,3,38,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,16
2248,1,10,22,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,22
2242,1,10,75,0,0,0,0,1,0,0,7,6,1,1,3,7,6,4,2,5,1,0,0,13
2163,2,6,58,0,0,0,0,0,1,0,7,5,1,2,2,7,5,4,3,4,1,0,0,31
2126,1,10,27,0,0,0,0,0,1,0,7,3,1,1,3,7,3,4,2,5,1,0,0,0
2122,2,10,27,0,0,0,0,0,1,0,6,4,1,1,3,6,4,4,2,5,1,0,0,1
1920,2,11,51,1,0,0,0,0,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,9
1884,3,2,42,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,0
1875,1,10,83,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,8
