timeLeftInSec,down,yardsToFirstdown,yardsToEndzone,isEmpty,isI_Form,isJumbo,isPistol,isShotgun,isSingleback,isWildcat,defendersInTheBox,numberOfPassRushers,numberRB,numberTE,numberWR,defendersInTheBox,numberOfPassRushers,numberDL,numberLB,numberDB,isTraditional,isRollout,isScramble,yardsGained,negative,incompete,positive
1465,1,10,75,1,0,0,0,0,0,0,6,4,0,1,4,6,4,4,2,5,1,0,0,6,0,0,1
1389,3,7,72,0,0,0,0,1,0,0,6,6,1,1,3,6,6,4,2,5,1,0,0,22,0,0,1
1348,1,10,50,0,0,0,0,0,1,0,7,5,1,1,3,7,5,4,2,5,1,0,0,18,0,0,1
1251,3,1,23,0,0,0,0,1,0,0,8,5,1,3,1,8,5,4,3,4,1,0,0,-10,1,0,0
1123,3,1,66,0,0,0,0,0,1,0,8,5,1,2,2,8,5,4,3,4,0,1,0,0,0,1,0
1083,2,10,71,0,0,0,0,0,1,0,7,4,1,2,2,7,4,4,3,4,0,0,1,0,0,1,0
1074,3,10,71,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,0,0,1,21,0,0,1
1026,1,10,50,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,0,0,1,0
1023,2,10,50,0,0,0,0,1,0,0,7,5,1,2,2,7,5,4,3,4,1,0,0,7,0,0,1
900,2,12,18,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,18,0,0,1
858,2,8,79,1,0,0,0,0,0,0,5,5,1,1,3,5,5,4,2,5,1,0,0,-8,1,0,0
800,3,16,87,0,0,0,0,1,0,0,4,4,1,1,3,4,4,4,2,5,1,0,0,18,0,0,1
711,2,8,67,0,0,0,0,0,1,0,7,8,1,2,2,7,8,4,3,4,0,0,1,0,0,1,0
662,2,10,75,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,9,0,0,1
576,1,10,57,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,0,0,1,0
505,3,21,68,0,0,0,0,1,0,0,4,4,1,0,4,4,4,4,2,5,1,0,0,13,0,0,1
450,1,10,64,0,0,0,0,0,1,0,8,5,1,2,2,8,5,4,3,4,1,0,0,0,0,1,0
352,1,15,27,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,2,0,0,1
309,2,13,25,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,15,0,0,1
265,1,10,10,0,1,0,0,0,0,0,8,5,1,3,1,8,5,4,3,4,1,0,0,0,0,1,0
217,3,2,2,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,0,0,1,0
210,1,10,75,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,-2,1,0,0
170,2,17,82,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0,0,1,0
152,1,10,75,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,6,0,0,1
130,2,4,69,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,16,0,0,1
120,1,10,53,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0,0,1,0
110,2,20,63,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,0,0,1,-2,1,0,0
102,3,22,65,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,0,0,1,0
32,1,10,55,0,0,0,0,1,0,0,4,4,1,0,4,4,4,4,2,5,1,0,0,13,0,0,1
14,2,10,42,0,0,0,0,1,0,0,4,4,1,0,4,4,4,4,2,5,1,0,0,0,0,1,0
10,3,10,42,0,0,0,0,1,0,0,4,4,1,1,3,4,4,4,2,5,0,0,1,0,0,1,0
3558,2,5,63,0,1,0,0,0,0,0,7,4,1,2,2,7,4,4,3,4,1,0,0,17,0,0,1
3486,1,10,30,1,0,0,0,0,0,0,5,4,1,2,2,5,4,4,3,4,0,0,1,0,0,1,0
3412,3,5,25,0,0,0,0,1,0,0,6,3,1,1,3,6,3,3,2,6,1,0,0,-6,1,0,0
3368,1,10,75,0,0,0,0,1,0,0,7,5,2,1,2,7,5,4,3,4,1,0,0,5,0,0,1
3300,1,10,64,0,0,0,0,1,0,0,5,4,1,2,2,5,4,4,3,4,1,0,0,5,0,0,1
3226,3,3,57,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,1,6,0,0,1,-7,1,0,0
3169,1,10,79,0,0,0,0,0,1,0,6,4,1,1,3,6,4,4,2,5,1,0,0,10,0,0,1
3041,3,4,63,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,19,0,0,1
2956,2,10,44,0,0,0,0,1,0,0,7,5,1,1,3,7,5,4,2,5,1,0,0,0,0,1,0
2951,3,10,44,1,0,0,0,0,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,-1,1,0,0
2909,1,10,82,0,0,0,0,1,0,0,6,2,1,1,3,6,2,4,2,5,1,0,0,10,0,0,1
2836,2,5,67,0,0,0,0,0,1,0,6,4,1,1,3,6,4,4,2,5,1,0,0,29,0,0,1
2794,1,10,38,0,1,0,0,0,0,0,7,3,2,1,2,7,3,4,3,4,1,0,0,23,0,0,1
2700,1,5,5,0,0,0,0,1,0,0,7,4,1,2,2,7,4,4,3,4,1,0,0,0,0,1,0
2696,2,10,10,0,0,0,0,1,0,0,6,3,1,1,3,6,3,4,2,5,1,0,0,-2,1,0,0
2646,3,12,12,0,0,0,0,1,0,0,6,4,2,1,2,6,4,4,1,6,1,0,0,7,0,0,1
2554,2,14,80,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,9,0,0,1
2509,3,5,71,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,2,6,1,0,0,3,0,0,1
2397,2,11,90,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,0,0,1,3,0,0,1
2339,3,3,82,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,1,6,0,0,1,0,0,1,0
2318,1,10,50,0,0,0,0,0,1,0,6,4,2,1,2,6,4,4,2,5,1,0,0,0,0,1,0
2278,3,12,52,0,0,0,0,1,0,0,4,4,1,1,3,4,4,4,2,5,1,0,0,0,0,1,0
2185,3,7,88,0,0,0,0,1,0,0,5,6,1,1,3,5,6,4,1,6,1,0,0,0,0,1,0
2054,1,10,44,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,44,0,0,1
2004,1,17,55,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,11,0,0,1
1968,2,6,44,0,0,0,0,0,1,0,6,5,1,1,3,6,5,4,2,5,1,0,0,34,0,0,1
1899,1,10,75,0,0,0,1,0,0,0,6,4,1,1,3,6,4,4,1,6,0,0,1,20,0,0,1
1891,1,10,55,0,0,0,0,1,0,0,5,5,1,1,3,5,5,4,1,6,1,0,0,-2,1,0,0
1865,2,12,57,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,1,6,1,0,0,4,0,0,1
1844,3,8,53,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,1,6,0,0,1,8,0,0,1
1825,2,10,45,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,2,6,1,0,0,6,0,0,1
1806,1,10,53,1,0,0,0,0,0,0,3,3,1,1,3,3,3,3,2,6,1,0,0,8,0,0,1
1755,2,10,73,1,0,0,0,0,0,0,4,3,1,2,2,4,3,4,1,6,1,0,0,0,0,1,0
1750,3,10,73,0,0,0,0,1,0,0,5,5,1,1,3,5,5,4,1,6,1,0,0,-7,1,0,0
1653,2,6,70,1,0,0,0,0,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,16,0,0,1
1580,2,9,53,0,0,0,0,1,0,0,6,6,1,1,3,6,6,4,2,5,1,0,0,17,0,0,1
1496,2,11,37,0,0,0,0,0,1,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0,0,1,0
1491,3,11,37,0,0,0,0,1,0,0,5,3,1,1,3,5,3,3,2,6,0,0,1,16,0,0,1
1415,1,20,31,0,0,0,0,0,1,0,7,4,1,2,2,7,4,4,3,4,1,0,0,9,0,0,1
1308,3,4,15,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,3,0,0,1
1265,1,10,75,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,1,6,1,0,0,7,0,0,1
1191,3,3,68,0,0,0,0,1,0,0,4,4,1,1,3,4,4,4,1,6,1,0,0,8,0,0,1
1157,1,10,60,0,0,0,0,0,1,0,6,4,1,1,3,6,4,4,1,6,1,0,0,0,0,1,0
1153,2,10,60,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,1,6,1,0,0,8,0,0,1
1110,3,7,57,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,1,6,1,0,0,32,0,0,1
973,1,1,1,0,0,1,0,0,0,0,11,6,2,3,0,11,6,6,2,3,0,0,1,0,0,1,0
965,1,10,96,0,1,0,0,0,0,0,7,4,1,2,2,7,4,4,3,4,1,0,0,48,0,0,1
900,1,20,58,0,0,0,1,0,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,12,0,0,1
829,2,18,56,0,0,0,0,0,1,0,6,4,1,1,3,6,4,4,2,5,1,0,0,26,0,0,1
676,3,11,31,0,0,0,0,1,0,0,5,5,1,1,3,5,5,4,2,5,1,0,0,12,0,0,1
591,2,4,13,0,0,0,0,0,1,0,8,4,1,3,1,8,4,4,3,4,1,0,0,13,0,0,1
576,1,10,74,0,0,0,0,1,0,0,4,4,1,1,3,4,4,4,1,6,1,0,0,47,0,0,1
532,1,10,27,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,1,6,1,0,0,3,0,0,1
500,2,7,24,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,1,6,1,0,0,-6,1,0,0
459,3,13,30,0,0,0,0,1,0,0,4,4,1,1,3,4,4,3,2,6,1,0,0,9,0,0,1
429,4,4,21,0,0,0,1,0,0,0,6,5,1,1,3,6,5,3,1,7,1,0,0,7,0,0,1
393,1,10,14,0,0,0,0,1,0,0,6,3,1,1,3,6,3,3,2,6,1,0,0,9,0,0,1
353,2,1,5,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,1,6,0,0,1,0,0,1,0
313,1,1,1,0,0,0,0,0,1,0,7,1,1,1,3,7,1,4,1,6,1,0,0,1,0,0,1
310,1,10,48,0,0,0,0,1,0,0,7,4,2,1,2,7,4,4,3,4,1,0,0,3,0,0,1
259,3,6,44,1,0,0,0,0,0,0,5,4,1,1,3,5,4,4,2,5,0,0,1,10,0,0,1
3559,2,8,59,1,0,0,0,0,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,4,0,0,1
3525,3,4,55,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,0,0,1,0,0,1,0
3471,2,7,83,0,0,0,0,1,0,0,7,4,1,1,3,7,4,3,3,5,0,1,0,1,0,0,1
3430,3,6,82,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,2,6,0,0,1,0,0,1,0
3327,2,2,2,1,0,0,0,0,0,0,7,3,1,1,3,7,3,4,2,5,1,0,0,0,0,1,0
3201,2,4,57,0,1,0,0,0,0,0,7,5,2,1,2,7,5,3,4,4,1,0,0,9,0,0,1
3168,1,10,48,0,0,0,0,0,1,0,7,4,1,1,3,7,4,3,3,5,0,0,1,32,0,0,1
2964,1,10,58,0,0,0,0,0,1,0,7,5,1,1,3,7,5,4,2,5,0,0,1,27,0,0,1
2927,1,10,31,1,0,0,0,0,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,-6,1,0,0
2884,2,16,37,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,19,0,0,1
2820,1,10,75,0,0,0,0,1,0,0,7,5,1,1,3,7,5,3,3,5,0,0,1,-7,1,0,0
2700,3,3,55,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,2,6,1,0,0,0,0,1,0
2657,2,5,75,0,0,0,0,0,1,0,7,5,1,1,3,7,5,4,2,5,1,0,0,0,0,1,0
2650,3,5,75,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,31,0,0,1
2536,2,9,9,1,0,0,0,0,0,0,6,3,1,1,3,6,3,4,2,5,1,0,0,8,0,0,1
2394,3,7,47,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,2,6,1,0,0,8,0,0,1
2346,1,10,70,0,0,0,0,0,1,0,6,5,1,1,3,6,5,4,2,5,1,0,0,15,0,0,1
2324,1,10,55,0,0,0,0,0,1,0,6,5,1,1,3,6,5,4,2,5,1,0,0,17,0,0,1
2276,1,10,38,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,17,0,0,1
2237,1,10,21,1,0,0,0,0,0,0,5,3,1,1,3,5,3,4,2,5,1,0,0,0,0,1,0
2232,2,10,21,0,0,0,1,0,0,0,7,6,1,1,3,7,6,4,2,5,1,0,0,0,0,1,0
2168,2,6,6,0,0,0,0,0,1,0,7,6,1,1,3,7,6,4,2,5,0,1,0,6,0,0,1
2053,2,10,53,0,0,0,0,1,0,0,7,5,1,1,3,7,5,3,3,5,1,0,0,0,0,1,0
2047,3,10,53,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,2,6,0,0,1,15,0,0,1
1930,3,4,32,0,0,0,0,1,0,0,4,4,1,1,3,4,4,3,2,6,1,0,0,-2,1,0,0
1905,1,10,83,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,9,0,0,1
1875,2,1,74,0,0,0,0,1,0,0,5,5,1,1,3,5,5,4,2,5,1,0,0,16,0,0,1
1862,1,10,58,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,11,0,0,1
1838,1,10,47,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,9,0,0,1
1820,2,1,38,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,8,0,0,1
1817,1,10,30,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,0,0,1,0
1812,2,15,35,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,0,0,1,-8,1,0,0
1803,3,28,48,0,0,0,0,1,0,0,3,3,1,1,3,3,3,3,1,7,1,0,0,0,0,1,0
1606,1,10,17,0,0,0,0,0,1,0,7,4,1,1,3,7,4,3,3,5,0,1,0,11,0,0,1
1543,2,3,3,0,0,0,0,0,1,0,7,4,1,1,3,7,4,3,3,5,0,0,1,3,0,0,1
1487,2,9,63,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,22,0,0,1
1456,1,10,41,0,0,0,0,0,1,0,7,3,1,1,3,7,3,4,2,5,1,0,0,17,0,0,1
1336,2,7,11,1,0,0,0,0,0,0,4,4,1,1,3,4,4,4,2,5,1,0,0,10,0,0,1
1048,1,10,34,0,1,0,0,0,0,0,7,4,2,1,2,7,4,3,4,4,1,0,0,0,0,1,0
1001,3,6,30,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,1,6,1,0,0,30,0,0,1
956,1,10,18,0,0,0,0,0,1,0,5,4,1,1,3,5,4,4,2,5,1,0,0,0,0,1,0
914,3,7,15,0,0,0,0,1,0,0,5,5,1,1,3,5,5,4,2,5,1,0,0,5,0,0,1
844,1,10,69,0,0,0,0,1,0,0,7,3,1,1,3,7,3,3,3,5,0,1,0,0,0,1,0
676,3,10,64,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,1,6,1,0,0,-8,1,0,0
634,1,10,82,0,0,0,0,0,1,0,7,6,1,1,3,7,6,4,2,5,1,0,0,0,0,1,0
628,2,10,82,0,0,0,1,0,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,14,0,0,1
544,2,4,62,0,0,0,0,1,0,0,7,5,1,1,3,7,5,4,2,5,1,0,0,20,0,0,1
516,1,10,42,0,0,0,0,0,1,0,7,5,1,1,3,7,5,4,2,5,1,0,0,17,0,0,1
319,2,8,76,0,0,0,0,1,0,0,5,3,1,1,3,5,3,3,3,5,0,1,0,44,0,0,1
229,2,23,45,0,0,0,0,1,0,0,6,4,1,1,3,6,4,3,3,5,1,0,0,0,0,1,0
225,3,23,45,0,0,0,0,1,0,0,4,5,1,1,3,4,5,4,1,6,0,0,1,0,0,1,0
3600,1,10,75,1,0,0,0,0,0,0,5,4,2,1,2,5,4,4,2,5,1,0,0,9,0,0,1
3532,1,10,49,0,1,0,0,0,0,0,7,5,2,1,2,7,5,4,2,5,1,0,0,16,0,0,1
3450,2,14,37,0,0,0,0,1,0,0,6,4,2,1,2,6,4,4,2,5,1,0,0,4,0,0,1
3410,1,10,27,0,1,0,0,0,0,0,8,4,2,1,2,8,4,4,2,5,1,0,0,25,0,0,1
3292,2,5,5,0,1,0,0,0,0,0,7,4,2,1,2,7,4,4,2,5,1,0,0,5,0,0,1
3289,1,10,75,0,0,0,0,0,1,0,8,4,1,2,2,8,4,4,3,4,1,0,0,75,0,0,1
3201,1,10,43,0,0,0,0,0,1,0,6,4,1,2,2,6,4,4,3,4,1,0,0,0,0,1,0
3155,3,7,40,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0,0,1,0
3067,2,6,74,1,0,0,0,0,0,0,7,5,1,2,2,7,5,4,2,5,1,0,0,0,0,1,0
3064,3,6,74,0,0,0,0,1,0,0,7,5,1,1,3,7,5,4,2,5,0,0,1,-15,1,0,0
3031,1,10,61,0,0,0,0,0,1,0,8,3,1,2,2,8,3,4,3,4,0,0,1,0,0,1,0
2974,1,10,51,0,0,0,0,0,1,0,7,4,1,2,2,7,4,4,3,4,0,0,1,5,0,0,1
2892,3,4,45,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0,0,1,0
2787,1,10,69,0,0,0,0,0,1,0,9,4,2,2,1,9,4,4,3,4,0,0,1,15,0,0,1
2682,2,22,66,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,9,0,0,1
2638,3,13,57,0,0,0,0,1,0,0,5,5,1,1,3,5,5,3,2,6,1,0,0,17,0,0,1
2554,2,11,19,0,0,0,0,0,1,0,6,4,1,1,3,6,4,4,2,5,1,0,0,11,0,0,1
2383,3,9,74,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0,0,1,0
2301,2,20,82,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0,0,1,0
2297,3,20,82,0,0,0,0,1,0,0,4,4,1,1,3,4,4,4,2,5,1,0,0,11,0,0,1
2258,1,10,64,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,0,0,1,0
2254,2,10,64,1,0,0,0,0,0,0,5,4,2,1,2,5,4,4,2,5,1,0,0,0,0,1,0
2224,1,10,49,0,0,0,0,0,1,0,8,3,1,1,3,8,3,4,2,5,1,0,0,0,0,1,0
2189,2,15,54,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,0,0,1,-2,1,0,0
2141,3,17,56,0,0,0,0,1,0,0,7,5,1,1,3,7,5,4,2,5,0,0,1,0,0,1,0
2080,2,11,95,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,8,0,0,1
2026,1,10,64,1,0,0,0,0,0,0,5,5,2,1,2,5,5,4,2,5,1,0,0,0,0,1,0
1944,2,9,55,1,0,0,0,0,0,0,6,4,2,1,2,6,4,4,2,5,1,0,0,5,0,0,1
1879,1,10,44,0,0,0,0,0,1,0,7,3,1,1,3,7,3,4,2,5,0,0,1,2,0,0,1
1861,2,8,42,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,0,0,1,0
1857,3,8,42,1,0,0,0,0,0,0,7,5,1,1,3,7,5,4,2,5,1,0,0,1,0,0,1
1843,1,10,80,0,0,0,0,1,0,0,6,6,1,1,3,6,6,4,2,5,1,0,0,10,0,0,1
1823,1,10,70,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,20,0,0,1
1818,1,10,50,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,0,0,1,-6,1,0,0
1812,2,16,56,0,0,0,0,1,0,0,3,3,1,1,3,3,3,3,2,6,1,0,0,15,0,0,1
1800,1,10,75,0,0,0,0,0,1,0,7,5,1,2,2,7,5,4,3,4,1,0,0,0,0,1,0
1651,2,5,76,0,1,0,0,0,0,0,8,5,2,1,2,8,5,4,2,5,1,0,0,7,0,0,1
1554,3,14,73,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,20,0,0,1
1524,1,10,53,0,1,0,0,0,0,0,8,4,2,1,2,8,4,4,2,5,0,1,0,0,0,1,0
1519,2,10,53,1,0,0,0,0,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,6,0,0,1
1434,1,10,39,0,1,0,0,0,0,0,8,4,2,2,1,8,4,4,2,5,1,0,0,-7,1,0,0
1426,1,10,54,0,1,0,0,0,0,0,8,4,1,2,2,8,4,4,3,4,1,0,0,0,0,1,0
1383,3,9,53,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,0,0,1,13,0,0,1
1300,2,9,39,0,0,0,0,1,0,0,8,5,1,2,2,8,5,4,3,4,1,0,0,0,0,1,0
1296,3,9,39,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0,0,1,0
1279,1,10,90,0,1,0,0,0,0,0,8,5,2,1,2,8,5,4,2,5,1,0,0,7,0,0,1
1245,2,3,83,0,1,0,0,0,0,0,8,4,2,1,2,8,4,4,2,5,1,0,0,4,0,0,1
1163,2,8,77,1,0,0,0,0,0,0,7,4,1,2,2,7,4,4,2,5,1,0,0,8,0,0,1
1092,2,12,71,1,0,0,0,0,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,14,0,0,1
900,3,10,27,1,0,0,0,0,0,0,6,5,1,1,3,6,5,3,2,6,1,0,0,0,0,1,0
892,1,10,65,0,0,0,0,0,1,0,7,4,1,1,3,7,4,4,2,5,1,0,0,0,0,1,0
803,2,7,44,0,0,0,0,0,1,0,7,4,1,1,3,7,4,4,2,5,1,0,0,0,0,1,0
799,3,7,44,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,2,0,0,1
757,1,10,83,0,1,0,0,0,0,0,7,5,2,1,2,7,5,4,2,5,0,0,1,7,0,0,1
718,2,3,76,0,0,0,0,0,1,0,7,5,1,2,2,7,5,4,2,5,1,0,0,8,0,0,1
677,1,10,68,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,0,0,1,0
636,3,5,63,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,9,0,0,1
605,1,10,54,0,0,0,0,0,1,0,7,6,1,1,3,7,6,4,2,5,1,0,0,0,0,1,0
601,2,15,59,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,45,0,0,1
502,3,5,9,1,0,0,0,0,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,8,0,0,1
419,4,1,1,1,0,0,0,0,0,0,6,4,1,1,3,6,4,4,2,5,0,0,1,1,0,0,1
411,1,10,75,0,0,0,0,0,1,0,8,4,1,2,2,8,4,4,3,4,1,0,0,0,0,1,0
363,3,7,72,0,0,0,0,1,0,0,5,4,1,1,3,5,4,3,3,5,1,0,0,0,0,1,0
350,1,10,68,0,1,0,0,0,0,0,7,7,2,1,2,7,7,4,2,5,1,0,0,10,0,0,1
273,1,10,75,1,0,0,0,0,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,11,0,0,1
252,1,10,64,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0,0,1,0
249,2,10,64,1,0,0,0,0,0,0,7,5,1,1,3,7,5,4,2,5,1,0,0,-9,1,0,0
244,3,19,73,1,0,0,0,0,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,0,0,1,0
240,4,19,73,0,0,0,0,1,0,0,7,4,1,1,3,7,4,4,2,5,1,0,0,0,0,1,0
196,1,10,76,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,11,0,0,1
173,1,10,65,0,0,0,0,1,0,0,4,4,1,1,3,4,4,4,2,5,1,0,0,16,0,0,1
162,1,10,49,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,0,0,1,0
151,2,10,49,0,0,0,0,1,0,0,6,5,1,1,3,6,5,4,2,5,1,0,0,5,0,0,1
146,3,5,44,0,0,0,0,1,0,0,5,5,1,1,3,5,5,4,2,5,1,0,0,12,0,0,1
129,1,10,32,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,2,5,1,0,0,0,0,1,0
126,2,10,32,0,0,0,0,1,0,0,7,5,1,1,3,7,5,4,2,5,1,0,0,9,0,0,1
98,1,10,11,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,10,0,0,1
3600,1,10,75,0,0,0,0,0,1,0,7,4,1,2,2,7,4,4,3,4,1,0,0,5,0,0,1
3566,2,5,70,0,1,0,0,0,0,0,7,5,2,1,2,7,5,4,3,4,1,0,0,7,0,0,1
3546,1,10,63,0,1,0,0,0,0,0,7,5,2,1,2,7,5,4,3,4,1,0,0,24,0,0,1
3310,1,10,18,0,0,0,0,0,1,0,7,5,1,1,3,7,5,4,2,5,1,0,0,6,0,0,1
3270,2,4,12,0,0,0,0,0,1,0,7,4,1,1,3,7,4,4,2,5,1,0,0,2,0,0,1
3227,3,2,10,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0,0,1,0
3220,1,10,80,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,0,0,1,0
3216,2,10,80,0,0,0,0,0,1,0,6,4,1,2,2,6,4,4,2,5,1,0,0,3,0,0,1
3176,3,7,77,1,0,0,0,0,0,0,5,4,1,2,2,5,4,4,2,5,0,0,1,-15,1,0,0
3124,1,10,50,0,0,0,0,1,0,0,6,4,1,2,2,6,4,4,3,4,1,0,0,24,0,0,1
3051,2,9,25,0,0,0,0,1,0,0,6,4,1,1,3,6,4,4,2,5,1,0,0,6,0,0,1
3009,3,3,19,1,0,0,0,0,0,0,6,4,1,1,3,6,4,4,1,6,1,0,0,0,0,1,0
3002,1,10,75,0,0,0,0,0,1,0,7,3,1,2,2,7,3,4,2,5,0,0,1,4,0,0,1
2831,2,8,88,0,0,0,0,0,1,0,8,5,1,2,2,8,5,4,3,4,1,0,0,0,0,1,0
2825,3,8,88,0,0,0,0,1,0,0,5,4,1,1,3,5,4,4,1,6,1,0,0,8,0,0,1
2734,2,10,80,0,0,0,0,0,1,0,6,4,2,1,2,6,4,4,3,4,1,0,0,-3,1,0,0
2700,3,13,83,0,0,0,0,1,0,0,3,4,1,1,3,3,4,4,2,5,1,0,0,7,0,0,1
2593,2,8,17,1,0,0,0,0,0,0,5,4,1,2,2,5,4,4,2,5,1,0,0,5,0,0,1
2550,3,3,12,1,0,0,0,0,0,0,5,4,1,2,2,5,4,4,2,5,1,0,0,0,0,1,0
2544,1,10,75,0,1,0,0,0,0,0,8,6,2,1,2,8,6,4,3,4,0,0,1,7,0,0,1
2499,2,3,68,0,0,0,0,0,1,0,7,3,1,1,3,7,3,4,2,5,1,0,0,7,0,0,1
2270,2,16,33,0,0,0,0,1,0,0,4,4,1,1,3,4,4,4,2,5,1,0,0,6,0,0,1
2222,3,10,27,0,0,0,0,1,0,0,6,6,1,1,3,6,6,4,2,5,1,0,0,0,0,1,0
